"Journal","Recs","LCS","GCS"
"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION",7,8,150
"JOURNAL OF MACHINE LEARNING RESEARCH",1,35,150
"TROPICAL CONSERVATION SCIENCE",10,26,150
"ORYX",12,14,149
"REMOTE SENSING OF ENVIRONMENT",6,9,149
"JOURNAL OF APPLIED ENTOMOLOGY",7,36,148
"TROPICAL ECOLOGY",18,48,148
"BIOLOGICAL CONTROL",9,21,146
"FIELD CROPS RESEARCH",2,0,146
"FLORA",15,7,146
"ECOHEALTH",7,6,145
"JOURNAL OF WILDLIFE MANAGEMENT",14,17,144
"BULLETIN OF ENTOMOLOGICAL RESEARCH",4,5,142
"MAMMALIA",13,18,140
"AGRICULTURAL AND FOREST METEOROLOGY",4,26,139
"BIOLOGY LETTERS",1,0,139
"JOURNAL OF SEA RESEARCH",6,21,138
"PLANT ECOLOGY",16,26,138
"CLIMATE RISK MANAGEMENT",3,19,136
"PARASITOLOGY RESEARCH",7,20,133
"AGROFORESTRY SYSTEMS",3,23,130
"AGRICULTURE-BASEL",12,0,126
"FLORIDA ENTOMOLOGIST",4,5,123
"JOURNAL OF AVIAN BIOLOGY",4,16,122
"APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH",16,37,121
"MARINE POLICY",4,11,119
"ROYAL SOCIETY OPEN SCIENCE",4,0,119
"SOUTH AFRICAN JOURNAL OF BOTANY",10,21,119
"WATER",9,3,119
"JOURNAL OF ECOLOGY",3,7,118
"JOURNAL OF MAMMALOGY",10,12,117
"MARINE ENVIRONMENTAL RESEARCH",12,0,116
"POLISH JOURNAL OF ECOLOGY",7,24,116
"INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION",4,15,115
"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES",4,16,115
"BMC INFECTIOUS DISEASES",5,0,113
"CURRENT ZOOLOGY",4,28,113
"JOURNAL OF PEST SCIENCE",3,35,113
"AMERICAN JOURNAL OF PRIMATOLOGY",9,9,112
"BRAZILIAN JOURNAL OF BIOLOGY",5,30,112
"LIMNOLOGY AND OCEANOGRAPHY",1,2,112
"AMERICAN NATURALIST",1,40,111
"CONSERVATION SCIENCE AND PRACTICE",9,0,111
"ECOLOGY LETTERS",4,6,111
"JOURNAL OF ORNITHOLOGY",9,15,111
"MODELING EARTH SYSTEMS AND ENVIRONMENT",15,29,111
"BIOTROPICA",7,13,110
"INTEGRATIVE ZOOLOGY",5,32,108
"IFOREST-BIOGEOSCIENCES AND FORESTRY",9,23,107
"BIRD CONSERVATION INTERNATIONAL",15,6,103
"ECOLOGICAL RESEARCH",8,16,103
"FISHERIES OCEANOGRAPHY",5,26,103
"WETLANDS",7,1,103
"BIOLOGIA",11,30,102
"PRIMATES",6,9,102
"ZOOTAXA",11,8,102
"ANNALS OF BOTANY",5,5,101
"INSECT CONSERVATION AND DIVERSITY",11,31,101
"JOURNAL OF ZOOLOGY",5,19,100
"AGRICULTURAL SYSTEMS",4,13,99
"ENVIRONMENTAL EARTH SCIENCES",6,0,98
"ACTA CHIROPTEROLOGICA",10,14,95
"PROGRESS IN OCEANOGRAPHY",2,5,95
"ENVIRONMENTAL AND ECOLOGICAL STATISTICS",2,21,94
"ENVIRONMENTAL SYSTEMS RESEARCH",3,0,94
"INTERNATIONAL JOURNAL OF PRIMATOLOGY",8,17,94
"ENVIRONMENTAL RESEARCH LETTERS",4,0,92
"FRONTIERS IN FORESTS AND GLOBAL CHANGE",14,0,92
"JOURNAL OF PLANT RESEARCH",3,27,92
"MEMORIAS DO INSTITUTO OSWALDO CRUZ",3,0,89
"PLANT BIOSYSTEMS",8,13,89
"INVASIVE PLANT SCIENCE AND MANAGEMENT",6,5,88
"REVISTA CHILENA DE HISTORIA NATURAL",2,21,88
"ANNALS OF FOREST SCIENCE",4,0,87
"IBIS",6,18,87
"PLOS COMPUTATIONAL BIOLOGY",2,0,87
"AGRONOMY-BASEL",11,0,85
"APPLIED SCIENCES-BASEL",5,0,85
"JOURNAL OF ARID LAND",3,27,85
"NATURAL AREAS JOURNAL",8,6,85
"BMC ECOLOGY AND EVOLUTION",9,0,84
"HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY",4,3,84
"BMC GENETICS",1,0,83
"GLOBAL CHANGE BIOLOGY BIOENERGY",2,22,82
"NATURWISSENSCHAFTEN",3,24,82
"SYSTEMATICS AND BIODIVERSITY",4,24,82
"JOURNAL OF MOUNTAIN SCIENCE",6,20,81
"ENTOMOLOGICAL RESEARCH",5,14,80
"JOURNAL OF NATURAL HISTORY",6,11,80
"APIDOLOGIE",4,12,79
"REMOTE SENSING IN ECOLOGY AND CONSERVATION",4,2,79
