Institution,Recs,LCS,GCS
Pontificia Univ Catolica Chile,12,6,141
Suleyman Demirel Univ,12,31,339
Swiss Fed Inst Technol,12,12,266
Tech Univ Munich,12,11,1430
UFZ Helmholtz Ctr Environm Res,12,78,405
Univ Arizona,12,146,1015
Univ Calif Santa Barbara,12,17,451
Univ Fed Pernambuco,12,25,234
Univ Granada,12,61,441
Univ Idaho,12,8,171
Univ Leon,12,6,263
Univ Maine,12,13,201
Univ Missouri,12,87,631
Univ Montreal,12,28,208
Univ Texas Austin,12,737,2382
Univ Tokyo,12,44,290
Washington State Univ,12,6,168
Zool Res Museum Alexander Koenig,12,109,1545
Arak Univ,11,19,166
Aristotle Univ Thessaloniki,11,9,150
China Agr Univ,11,26,190
Consejo Nacl Invest Cient & Tecn CONICET,11,3,85
ICAR Cent Arid Zone Res Inst,11,10,90
Imperial Coll London,11,53,411
Kasetsart Univ,11,22,164
Kerala Agr Univ,11,10,150
Mem Univ Newfoundland,11,10,283
Minist Educ,11,0,289
Natl Acad Sci Ukraine,11,51,389
Princeton Univ,11,4301,17255
Rutgers State Univ,11,18,303
Sorbonne Univ,11,32,270
Stellenbosch Univ,11,8,102
Univ Acores,11,20,271
Univ Algarve,11,2,142
Univ Antioquia,11,1,330
Univ Auckland,11,155,741
Univ Colorado,11,17,321
Univ Fed Bahia,11,21,248
Univ Fed Rio Grande do Norte,11,78,553
Univ Freiburg,11,3,297
Univ Miami,11,49,399
Univ Montana,11,55,893
Univ Roma La Sapienza,11,60,498
Univ Turin,11,5,275
Virginia Tech,11,34,392
Yangzhou Univ,11,48,293
Acad Sci & Innovat Res AcSIR,10,0,57
Cent Michigan Univ,10,13,84
Clark Univ,10,41,263
CNRS,10,16,330
Curtin Univ,10,12,169
Deakin Univ,10,27,223
Duke Univ,10,329,1736
Hokkaido Univ,10,3,176
Inst Nacl Salud Publ,10,3,158
IPB Univ,10,6,47
Kangwon Natl Univ,10,2,160
Lanzhou Univ,10,2,211
Leibniz Inst Zoo & Wildlife Res,10,6,1298
Manchester Metropolitan Univ,10,36,265
Marine Conservat Inst,10,134,701
Monash Univ,10,12,191
Nat Biodivers Ctr,10,41,696
Northwest Univ,10,0,89
Poznan Univ Life Sci,10,85,1005
Royal Bot Gardens,10,52,746
Sichuan Univ,10,1,100
Tokyo Univ Agr & Technol,10,22,186
Univ Alabama,10,55,571
Univ Amsterdam,10,12,535
Univ Calgary,10,7,225
Univ Connecticut,10,100,462
Univ Costa Rica,10,195,758
Univ Estadual Santa Cruz,10,7,148
Univ Exeter,10,3,295
Univ Fed Rio de Janeiro,10,9,189
Univ Fed Sergipe,10,0,40
Univ Girona,10,19,402
Univ Liverpool,10,0,291
Univ Otago,10,18,159
Univ Pavia,10,8,187
Univ Seville,10,1,325
Univ Stellenbosch,10,63,685
Univ Wisconsin Madison,10,15,138
ARS,9,50,429
Ashoka Trust Res Ecol & Environm,9,16,119
Cankiri Karatekin Univ,9,1,31
Charles Univ Prague,9,11,247
CSIRO,9,38,321
CUNY City Coll,9,4729,18064
Florida Int Univ,9,101,1032
Fujian Agr & Forestry Univ,9,26,190
Helwan Univ,9,0,97
Kastamonu Univ,9,1,84
Minist Agr & Rural Affairs,9,0,115
Missouri Bot Garden,9,257,996
Museum Natl Hist Nat,9,120,492
Natl Inst Environm Studies,9,20,168
Natl Inst Water & Atmospher Res,9,45,359
Natl Res & Innovat Agcy BRIN,9,1,16
New Mexico State Univ,9,44,277
New York Bot Garden,9,6,328
Northeast Agr Univ,9,52,402
Penn State Univ,9,26,291
Purdue Univ,9,26,202
Qinghai Normal Univ,9,1,167
Sapienza Univ Rome,9,57,388
Shenyang Agr Univ,9,0,151
Sichuan Prov Rural Econ Informat Ctr,9,13,258
Swiss Fed Res Inst WSL,9,130,794
Tech Univ Dresden,9,6,108
UNAM,9,25,176
Univ Aberdeen,9,2,287
Univ Alicante,9,26,270
Univ Autonoma Barcelona,9,60,270
Univ Autonoma Nuevo Leon,9,10,174
Univ Azores,9,13,291
Univ Bern,9,84,485
Univ Calif Riverside,9,4,365
Univ Fed Para,9,2,202
Univ Fed Santa Catarina,9,2,96
Univ Genoa,9,1,280
Univ Gottingen,9,36,1229
Univ Guadalajara,9,0,63
Univ Laval,9,9,309
Univ Libre Bruxelles,9,30,240
Univ Lodz,9,4,135
Univ Murcia,9,7,148
Univ N Carolina,9,75,400
Univ Natl Agr,9,2,116
Univ Parakou,9,14,106
Univ Pisa,9,6,118
Univ Santo Tomas,9,6,87
Univ Siena,9,2,184
Univ Tsukuba,9,8,51
Univ Tuscia,9,20,122
Univ Vigo,9,19,274
USDA Forest Serv,9,8,140
Vietnam Acad Sci & Technol,9,7,128
Vietnam Natl Univ Forestry,9,16,54
Virginia Polytech Inst & State Univ,9,13,95
Zhejiang Ocean Univ,9,0,62
Agr Res Educ & Extens Org AREEO,8,12,77
Aix Marseille Univ,8,7,385
Arizona State Univ,8,11,381
Brigham Young Univ,8,20,139
Charles Sturt Univ,8,8,162
CIRAD,8,6,272
Clemson Univ,8,12,95
Embrapa Roraima,8,5,57
Fdn Edmund Mach,8,69,263
Forestry & Forest Prod Res Inst,8,7,47
Fundacao Oswaldo Cruz,8,2,237
Gauhati Univ,8,14,51
Guangdong Ocean Univ,8,0,87
Hakim Sabzevari Univ,8,11,75
Hebei Normal Univ,8,60,278
ICFRE Himalayan Forest Res Inst,8,4,48
Inst Marine Res,8,6,213
Inst Nacl de Pesquisas da Amazonia,8,8,270
Int Ctr Insect Physiol & Ecol,8,17,236
Kansas State Univ,8,24,272
Konkuk Univ,8,6,58
Max Planck Inst Ornithol,8,33,352
NASA,8,102,326
Natl Inst Forest Sci,8,0,55
Peregrine Fund,8,27,95
Queens Univ Belfast,8,56,316
Radboud Univ Nijmegen,8,102,485
Shanxi Normal Univ,8,0,289
Tanta Univ,8,4,38
Tohoku Univ,8,2,114
Trent Univ,8,0,55
Univ Bergen,8,12,169
Univ Buenos Aires,8,7,122
Univ Cagliari,8,154,460
Univ Calif Merced,8,220,808
Univ Canberra,8,99,585
Univ Cologne,8,9,74
Univ Estadual Campinas,8,0,343
Univ Fed Paraiba,8,3,162
Univ Fed Vales Jequitinhonha & Mucuri,8,9,91
Univ Felix Houphouet Boigny,8,1,50
Univ Florence,8,9,257
Univ Hawaii,8,9,135
Univ Kebangsaan Malaysia,8,3,62
Univ Kent,8,28,335
Univ Lucknow,8,5,54
Univ Michoacana,8,5,125
Univ New Hampshire,8,78,374
Univ Reading,8,13,320
Univ Rhode Isl,8,27,256
Univ Torino,8,9,125
Univ Vermont,8,7,287
Univ Vienna,8,3,30
Univ Western Cape,8,14,147
Univ Wurzburg,8,16,194
Univ Wyoming,8,5,96
