222	1177	1
222	1258	1
222	1919	1
222	1961	2
222	2077	1
222	2692	1
222	2888	1
222	3143	1
222	3422	1
222	3727	1
222	4673	2
222	5280	1
222	5314	1
222	6037	1
222	6215	4
222	6246	1
222	6314	1
222	6568	1
222	7927	1
222	8522	1
222	8588	1
222	8717	1
222	9165	5
222	9544	1
222	9763	1
222	10636	1
273	1163	1
273	1205	1
273	1961	2
273	2283	1
273	2299	1
273	2338	1
273	2711	1
273	3719	1
273	4008	1
273	4167	1
273	4302	1
273	4361	1
273	4625	1
273	4838	1
273	5268	1
273	6215	2
273	6921	1
273	7053	1
273	8560	1
273	8775	1
273	9165	6
298	300	5
298	771	1
298	1961	3
298	3251	1
298	3522	1
298	4279	1
298	4302	1
298	4673	1
298	5972	1
298	6215	7
298	6667	1
298	8179	1
298	8407	2
298	8522	1
298	9165	10
298	9171	1
298	9630	1
298	10828	1
300	1383	1
300	2088	1
300	3502	1
300	4279	1
300	4673	1
300	5972	1
300	6215	6
300	8407	1
300	8522	1
300	9165	8
325	826	1
325	1191	1
325	1242	2
325	1865	1
325	1957	2
325	1961	4
325	2866	1
325	2888	1
325	2901	1
325	3203	2
325	3452	1
325	4673	1
325	6001	1
325	6016	3
325	6215	9
325	6289	1
325	6498	1
325	6568	1
325	7072	2
325	7802	1
325	8588	1
325	8741	1
325	9165	15
325	9676	1
325	9763	4
325	9773	1
325	9833	1
325	10265	1
325	10616	1
325	10834	1
325	10930	1
325	10959	1
377	1556	1
377	1925	1
377	1957	2
377	1961	1
377	3954	1
377	4582	1
377	5583	1
377	5594	1
377	5972	1
377	6215	6
377	6231	1
377	6568	1
377	8018	1
377	8022	1
377	8239	1
377	8731	1
377	9165	6
377	9763	1
377	10086	1
377	10159	1
377	10337	1
497	574	1
497	1424	1
497	1773	1
497	2312	1
497	2711	2
497	6215	6
497	6559	1
497	6568	1
497	6982	1
497	7040	1
497	8098	1
497	8264	1
497	8331	1
497	8554	1
497	9165	3
497	9546	1
497	10959	1
497	11066	1
530	1044	1
530	1163	1
530	1191	2
530	1201	1
530	1258	1
530	1892	1
530	1961	1
530	2299	2
530	2901	3
530	2951	1
530	4411	1
530	6016	1
530	6215	5
530	6229	2
530	6498	1
530	7800	1
530	8549	1
530	8874	1
530	9165	4
530	10884	1
531	1201	1
531	1242	1
531	1556	1
531	1957	1
531	1961	1
531	2299	6
531	2866	1
531	2888	1
531	3349	1
531	3399	1
531	3482	1
531	4038	1
531	4673	2
531	5636	1
531	6215	8
531	7076	1
531	7802	1
531	8564	1
531	8699	1
531	9165	8
536	1044	1
536	1205	1
536	1556	1
536	1919	1
536	1961	1
536	2299	1
536	2338	3
536	2901	1
536	2934	1
536	3349	1
536	3425	1
536	3505	1
536	4139	1
536	4309	1
536	4675	1
536	4678	1
536	5117	1
536	6215	5
536	6396	2
536	6932	1
536	7044	1
536	7073	1
536	8340	2
536	8554	2
536	8717	1
536	8741	5
536	9165	6
536	9601	1
536	9680	1
536	9833	1
536	9936	1
536	10395	1
536	11037	1
574	771	1
574	1201	1
574	1242	1
574	1842	1
574	1919	1
574	1961	3
574	2062	2
574	2299	3
574	2312	1
574	2338	1
574	2888	1
574	6215	7
574	6514	1
574	7040	1
574	7053	1
574	8098	2
574	8340	1
574	8554	1
574	9165	6
574	9763	1
574	10388	1
574	10395	1
592	1906	2
592	2283	1
592	4634	1
592	4675	1
592	4690	1
592	5789	1
592	6215	2
592	6437	1
592	6552	1
592	9165	3
592	9224	1
592	9382	1
592	10530	1
644	1919	1
644	2299	1
644	2338	1
644	2519	1
644	4183	1
644	4279	1
644	4675	1
644	5101	1
644	6215	3
644	8340	1
644	8564	1
644	9165	3
644	9768	1
644	10804	1
644	11229	1
696	1242	1
696	1258	1
696	1961	5
696	2888	1
696	3139	1
696	3642	1
696	4361	1
696	4673	1
696	4676	2
696	5268	1
696	6215	3
696	6545	1
696	7475	1
696	9165	4
696	10159	1
741	1258	1
741	1381	1
741	1961	4
741	2024	1
741	5972	1
741	6215	5
741	8240	1
741	9045	1
741	9165	8
752	1961	1
752	2299	2
752	2711	1
752	3336	1
752	3505	1
752	3714	4
752	4657	1
752	5387	1
752	5390	1
752	6215	6
752	7076	1
752	8098	2
752	9165	8
759	1136	1
759	1169	1
759	1191	3
759	1242	1
759	1273	1
759	1311	1
759	1961	1
759	2299	1
759	2504	1
759	2888	1
759	3349	1
759	3356	1
759	3391	1
759	3422	1
759	3503	1
759	3511	1
759	3529	2
759	4361	1
759	4380	1
759	4582	1
759	4678	1
759	5317	1
759	5345	1
759	5467	4
759	5615	1
759	5761	2
759	5789	1
759	5879	1
759	6001	1
759	6016	1
759	6041	1
759	6215	23
759	6524	1
759	6530	4
759	6548	1
759	7073	2
759	7475	1
759	8115	1
759	8234	1
759	8236	1
759	8240	1
759	9040	2
759	9165	22
759	9432	1
759	9609	1
759	9614	1
759	9676	1
759	9821	1
759	10086	1
759	10265	1
759	10287	1
759	10693	1
759	11172	1
771	1209	1
771	1842	1
771	2338	1
771	2578	2
771	3139	1
771	5268	1
771	6215	5
771	6667	1
771	8098	1
771	8179	1
771	8340	1
771	8717	1
771	8880	1
771	9165	6
771	9171	1
806	1149	1
806	1201	1
806	1205	1
806	1961	4
806	2338	1
806	2692	2
806	3082	1
806	3203	1
806	3727	1
806	3871	1
806	3954	1
806	4283	1
806	4675	1
