4	73	1
4	112	2
4	169	1
4	214	1
4	230	2
4	318	2
4	327	2
4	376	1
4	400	2
4	401	1
5	25	1
5	27	1
5	39	1
5	41	1
5	72	3
5	73	1
5	96	1
5	97	1
5	112	3
5	139	1
5	147	1
5	182	1
5	216	1
5	227	1
5	330	1
5	331	2
5	354	1
5	359	1
5	363	1
5	370	1
5	376	1
5	400	3
5	441	1
5	460	1
5	471	1
23	41	1
23	43	1
23	46	1
23	73	1
23	76	2
23	111	1
23	112	2
23	124	1
23	139	1
23	147	1
23	178	1
23	214	1
23	265	2
23	274	1
23	291	1
23	331	1
23	396	1
23	400	3
23	425	1
23	431	1
23	439	1
23	471	1
25	27	1
25	41	1
25	72	1
25	112	1
25	124	1
25	139	1
25	315	1
25	331	1
25	354	1
25	359	1
25	370	1
25	400	2
25	441	1
27	41	1
27	72	1
27	73	1
27	112	1
27	139	1
27	281	1
27	298	1
27	331	2
27	359	1
27	370	2
27	400	1
27	441	1
39	72	2
39	74	1
39	97	1
39	111	1
39	112	1
39	128	1
39	182	1
39	281	1
39	330	1
39	331	1
39	353	2
39	354	1
39	363	1
39	370	1
39	376	1
39	396	1
39	400	2
39	439	1
39	460	1
41	72	1
41	73	1
41	111	1
41	112	2
41	139	1
41	178	1
41	265	1
41	274	1
41	331	1
41	359	1
41	370	1
41	400	2
41	425	1
41	439	1
41	441	1
41	471	1
43	46	1
43	76	2
43	93	1
43	96	1
43	112	3
43	128	2
43	139	1
43	162	1
43	178	1
43	183	1
43	208	1
43	229	1
43	291	1
43	315	2
43	331	1
43	354	3
43	376	1
43	400	2
43	431	2
46	76	1
46	93	1
46	96	1
46	112	1
46	147	1
46	208	1
46	214	1
46	229	1
46	265	1
46	315	1
46	354	1
46	400	1
49	76	1
49	85	1
49	128	1
49	274	1
49	281	1
49	354	1
49	460	1
60	112	2
60	180	1
60	182	1
60	227	1
60	231	1
60	281	1
60	309	2
60	331	1
60	336	1
60	374	1
60	376	1
60	400	1
60	460	1
72	73	1
72	74	1
72	96	1
72	97	2
72	111	1
72	112	6
72	124	1
72	128	1
72	139	2
72	147	1
72	216	1
