id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
48382	"dormann cf, 2013, ecography, v36, p27, doi 10.1111/j.1600-0587.2012.07348.x"	-0.233	-0.0887	1	294	3753	221
50134	"dyderski mk, 2018, global change biol, v24, p1150, doi 10.1111/gcb.13925"	-0.995	-0.2885	3	232	1054	85
51545	"elith j, 2006, ecography, v29, p129, doi 10.1111/j.2006.0906-7590.04596.x"	0.4438	-0.0455	2	299	27961	1916
51547	"elith j, 2008, j anim ecol, v77, p802, doi 10.1111/j.1365-2656.2008.01390.x"	-0.1019	0.8432	2	295	3784	250
51548	"elith j, 2009, annu rev ecol evol s, v40, p677, doi 10.1146/annurev.ecolsys.110308.120159"	-0.0739	0.1723	1	299	18036	1194
51549	"elith j, 2009, ecography, v32, p66, doi 10.1111/j.1600-0587.2008.05505.x"	0.2799	0.5199	2	297	4768	268
51551	"elith j, 2010, methods ecol evol, v1, p330, doi 10.1111/j.2041-210x.2010.00036.x"	0.0039	-0.2776	4	299	11402	647
51552	"elith j, 2011, divers distrib, v17, p43, doi 10.1111/j.1472-4642.2010.00725.x"	-0.1209	-0.2871	3	299	25076	1759
52158	"engler r, 2004, j appl ecol, v41, p263, doi 10.1111/j.0021-8901.2004.00881.x"	0.8325	0.5281	2	286	2851	155
52722	"escobar le, 2014, geospatial health, v9, p221, doi 10.4081/gh.2014.19"	-0.6828	-0.8821	1	225	1167	88
53635	"evans js, 2011, predictive species and habitat modeling in landscape ecoloogy: concepts and applications, p139, doi 10.1007/978-1-4419-7390-0_8"	-0.3776	0.8314	1	249	1110	79
53815	"eyring v, 2016, geosci model dev, v9, p1937, doi 10.5194/gmd-9-1937-2016"	-1.0451	-0.2054	1	254	1332	88
55452	"feng x, 2019, ecol evol, v9, p10365, doi 10.1002/ece3.5555"	-0.9157	-0.1776	1	271	1856	117
56191	"ficetola gf, 2007, divers distrib, v13, p476, doi 10.1111/j.1472-4642.2007.00377.x"	1.0677	-0.4439	4	235	1161	72
56224	"fick se, 2017, int j climatol, v37, p4302, doi [10.1002/joc.5086 10.3390/mi14101827]"	-0.8117	-0.1829	1	298	11337	870
56287	"field cb, 2014, climate change 2014: impacts, adaptation, and vulnerability, pt a: global and sectoral aspects, p1"	-0.807	-0.3979	3	275	1991	135
56307	"fielding ah, 1997, environ conserv, v24, p38, doi 10.1017/s0376892997000088"	0.3621	0.183	2	299	14901	959
56861	"fithian w, 2015, methods ecol evol, v6, p424, doi 10.1111/2041-210x.12242"	-0.2203	0.8914	1	236	1115	58
56926	"fitzpatrick mc, 2007, global ecol biogeogr, v16, p24, doi 10.1111/j.1466-8238.2006.00258.x"	1.0802	-0.6972	4	207	1207	57
56929	"fitzpatrick mc, 2009, biodivers conserv, v18, p2255, doi 10.1007/s10531-009-9584-8"	0.4924	-0.2073	4	249	1151	58
57392	"fois m, 2018, ecol model, v385, p124, doi 10.1016/j.ecolmodel.2018.07.018"	-0.7774	-0.0799	3	258	1433	93
58110	"fourcade y, 2014, plos one, v9, doi 10.1371/journal.pone.0097122"	-0.3898	-0.0104	1	299	5853	331
58115	"fourcade y, 2018, global ecol biogeogr, v27, p245, doi 10.1111/geb.12684"	-0.7283	0.3635	1	279	1985	95
58507	"franklin j, 2013, divers distrib, v19, p1217, doi 10.1111/ddi.12125"	-0.594	-0.1555	1	270	1446	92
58518	"franklin j., 2009, mapping species dist"	0.795	0.1049	2	292	4130	243
58525	"franklin j., 2010, ecol biodivers cons, doi 10.1017/cbo9780511810602"	0.5179	0.3422	2	268	1582	103
58526	"franklin j., 2010, mapping species dist"	-0.6741	0.568	1	265	1381	85
58776	"freeman ea, 2008, ecol model, v217, p48, doi 10.1016/j.ecolmodel.2008.05.015"	0.4637	0.7184	2	240	1142	74
59086	"friedman jh, 1991, ann stat, v19, p1, doi 10.1214/aos/1176347963"	0.1775	0.9032	2	253	1406	84
59088	"friedman jh, 2001, ann stat, v29, p1189, doi [10.1021/acs.jmedchem.5b00104 10.1093/molbev/msy096]"	-0.192	0.873	2	265	1608	120
62907	"gent pr, 2011, j climate, v24, p4973, doi 10.1175/2011jcli4083.1"	-0.5436	-0.6265	3	254	1432	87
64221	"giovanelli jgr, 2010, ecol model, v221, p215, doi 10.1016/j.ecolmodel.2009.10.009"	0.6847	-0.2061	4	257	1091	59
66486	"graham ch, 2004, trends ecol evol, v19, p497, doi 10.1016/j.tree.2004.07.006"	0.9703	0.299	2	283	2196	124
66488	"graham ch, 2006, global ecol biogeogr, v15, p578, doi 10.1111/j.1466-8238.2006.00257.x"	1.0317	-0.0021	2	242	1213	80
66490	"graham ch, 2008, j appl ecol, v45, p239, doi 10.1111/j.1365-2664.2007.01408.x"	0.6875	0.2811	2	277	1954	115
66527	"graham mh, 2003, ecology, v84, p2809, doi 10.1890/02-3114"	-0.2525	-0.3241	3	259	1284	77
67217	"grenouillet g, 2011, ecography, v34, p9, doi 10.1111/j.1600-0587.2010.06152.x"	-0.0988	0.7579	2	261	1421	77
68312	"guillera-arroita g, 2015, global ecol biogeogr, v24, p276, doi 10.1111/geb.12268"	-0.3878	0.6641	1	292	3313	185
68396	"guisan a, 2000, ecol model, v135, p147, doi 10.1016/s0304-3800(00)00354-9"	0.464	0.3315	2	299	11739	746
68398	"guisan a, 2002, ecol model, v157, p89, doi 10.1016/s0304-3800(02)00204-1"	0.0564	0.7188	2	292	2648	154
68400	"guisan a, 2005, ecol lett, v8, p993, doi 10.1111/j.1461-0248.2005.00792.x"	0.4397	0.0943	2	299	12973	814
68401	"guisan a, 2006, conserv biol, v20, p501, doi 10.1111/j.1523-1739.2006.00354.x"	0.9979	0.3722	2	255	1495	92
68404	"guisan a, 2007, divers distrib, v13, p332, doi 10.1111/j.1472-4642.2007.00342.x"	0.7394	0.1578	2	282	2174	121
68406	"guisan a, 2007, ecol monogr, v77, p615, doi 10.1890/06-1060.1"	0.7055	0.3663	2	274	1662	81
68410	"guisan a, 2013, ecol lett, v16, p1424, doi 10.1111/ele.12189"	-0.296	0.4913	1	298	5256	323
68412	"guisan a, 2014, trends ecol evol, v29, p260, doi 10.1016/j.tree.2014.02.009"	0.283	-0.912	4	238	1207	64
68433	"guisan a., 2017, habitat suitability, doi [10.1017/9781139028271, doi 10.1017/9781139028271]"	-0.745	0.4552	1	294	2920	175
70746	"hanley ja, 1982, radiology, v143, p29, doi 10.1148/radiology.143.1.7063747"	0.4723	0.1162	2	297	2952	172
71039	"hao tx, 2019, divers distrib, v25, p839, doi 10.1111/ddi.12892"	-0.636	0.6855	1	274	1958	105
71040	"hao tx, 2020, ecography, v43, p549, doi 10.1111/ecog.04890"	-0.7517	0.6684	1	255	1495	87
73198	"heikkinen rk, 2006, prog phys geog, v30, p751, doi 10.1177/0309133306071957"	0.7009	-0.2795	4	288	2678	140
73202	"heikkinen rk, 2012, ecography, v35, p276, doi 10.1111/j.1600-0587.2011.06999.x"	-0.0365	0.3631	1	269	1582	80
73671	"hengl t, 2017, plos one, v12, doi 10.1371/journal.pone.0169748"	-0.8851	0.0242	1	241	1068	78
73970	"hernandez pa, 2006, ecography, v29, p773, doi 10.1111/j.0906-7590.2006.04700.x"	0.7704	-0.0008	2	299	10485	646
74891	"hijmans rj, 2005, int j climatol, v25, p1965, doi 10.1002/joc.1276"	0.4596	-0.517	4	299	20780	1478
74893	"hijmans rj, 2006, global change biol, v12, p2272, doi 10.1111/j.1365-2486.2006.01256.x"	0.6202	-0.1001	2	290	2851	162
74897	"hijmans rj, 2012, ecology, v93, p679, doi 10.1890/11-0826.1"	0.012	0.2923	1	295	2737	147
74945	"hijmans robert j, 2024, cran"	-0.9735	0.1802	1	264	2165	190
74948	"hijmans robertj., 2017, dismo: species distribution modeling"	-0.7615	0.4016	1	283	2045	124
75383	"hirzel ah, 2001, ecol model, v145, p111, doi 10.1016/s0304-3800(01)00396-9"	0.4558	0.7643	2	249	1166	55
75385	"hirzel ah, 2002, ecology, v83, p2027, doi 10.1890/0012-9658(2002)083[2027:enfaht]2.0.co;2"	0.7841	0.413	2	285	2884	174
75390	"hirzel ah, 2006, ecol model, v199, p142, doi 10.1016/j.ecolmodel.2006.05.017"	-0.3502	0.4199	1	293	4243	236
75394	"hirzel ah, 2008, j appl ecol, v45, p1372, doi 10.1111/j.1365-2664.2008.01524.x"	0.3912	0.4736	2	278	1654	101
78898	"hutchinson ge, 1957, cold spring harb sym, v22, p415, doi 10.1101/sqb.1957.022.01.039"	0.6823	-0.4123	4	295	4308	264
82096	"jarnevich cs, 2015, ecol inform, v29, p6, doi 10.1016/j.ecoinf.2015.06.007"	-0.4783	-0.0285	1	262	1238	76
82282	"jaynes et, 1957, phys rev, v106, p620, doi 10.1103/physrev.106.620"	0.8896	-0.3485	4	253	1348	82
82677	"jeschke jm, 2008, ann ny acad sci, v1134, p1, doi 10.1196/annals.1439.002"	1.0005	-0.382	4	246	1340	74
83285	"jiménez-valverde a, 2007, acta oecol, v31, p361, doi 10.1016/j.actao.2007.02.001"	0.5167	0.2631	2	292	2645	158
83287	"jiménez-valverde a, 2008, divers distrib, v14, p885, doi 10.1111/j.1472-4642.2008.00496.x"	1.0204	0.2312	2	278	2540	134
83291	"jiménez-valverde a, 2011, biol invasions, v13, p2785, doi 10.1007/s10530-011-9963-4"	0.4064	-0.5513	4	290	2926	153
83294	"jiménez-valverde a, 2012, global ecol biogeogr, v21, p498, doi 10.1111/j.1466-8238.2011.00683.x"	-0.0203	0.4459	1	298	3427	176
85055	"kadmon r, 2004, ecol appl, v14, p401, doi 10.1890/02-5364"	0.7028	0.4827	2	272	1812	93
85221	"kaky e, 2020, ecol inform, v60, doi 10.1016/j.ecoinf.2020.101150"	-0.7977	0.1164	1	281	2169	147
86019	"karger dn, 2017, sci data, v4, doi 10.1038/sdata.2017.122"	-0.9768	-0.0061	1	277	2523	166
86312	"kass jm, 2021, methods ecol evol, v12, p1602, doi 10.1111/2041-210x.13628"	-1.1447	-0.1471	1	269	3011	188
86855	"kearney m, 2009, ecol lett, v12, p334, doi 10.1111/j.1461-0248.2008.01277.x"	0.2179	-0.1134	4	290	1985	115
88020	"khanum r, 2013, acta oecol, v49, p23, doi 10.1016/j.actao.2013.02.007"	-0.289	-0.8086	3	260	1713	103
91205	"kramer-schadt s, 2013, divers distrib, v19, p1366, doi 10.1111/ddi.12096"	-0.4178	0.1784	1	298	6163	360
92315	"kumar s., 2009, j ecol nat env, p94"	0.3253	-0.8772	3	265	2334	165
93730	"landis jr, 1977, biometrics, v33, p159, doi 10.2307/2529310"	-0.1664	0.6488	2	257	1277	81
93869	"langford ff, 1990, aapg bull, v74, p799"	-0.6737	0.2608	1	298	6171	382
96117	"lenoir j, 2008, science, v320, p1768, doi 10.1126/science.1156831"	-0.5639	-0.7349	3	249	1508	91
96322	"leroy b, 2018, j biogeogr, v45, p1994, doi 10.1111/jbi.13402"	-0.5361	0.533	1	255	1357	68
98159	"liaw a., 2002, r news, v2, p18, doi 10.2307/2404188"	-0.5019	0.7872	1	247	1464	139
99310	"liu cr, 2005, ecography, v28, p385, doi 10.1111/j.0906-7590.2005.03957.x"	0.4509	0.0623	2	299	7632	502
99311	"liu cr, 2011, ecography, v34, p232, doi 10.1111/j.1600-0587.2010.06354.x"	0.1402	0.6984	2	265	1475	82
99313	"liu cr, 2013, j biogeogr, v40, p778, doi 10.1111/jbi.12058"	-0.48	-0.1136	1	299	5791	349
99314	"liu cr, 2016, ecol evol, v6, p337, doi 10.1002/ece3.1878"	-0.7913	0.1733	1	289	3050	179
100323	"lobo jm, 2008, global ecol biogeogr, v17, p145, doi 10.1111/j.1466-8238.2007.00358.x"	0.2961	0.0766	2	299	12177	674
100324	"lobo jm, 2010, ecography, v33, p103, doi 10.1111/j.1600-0587.2009.06039.x"	0.3636	0.5768	2	287	2220	116
100570	"loiselle ba, 2003, conserv biol, v17, p1591, doi 10.1111/j.1523-1739.2003.00233.x"	0.9586	0.4453	2	263	1904	99
100572	"loiselle ba, 2008, j biogeogr, v35, p105, doi 10.1111/j.1365-2699.2007.01779.x"	1.0936	0.1818	2	224	1107	53
104118	"mainali kp, 2015, global change biol, v21, p4464, doi 10.1111/gcb.13038"	-0.304	-0.0395	1	246	1062	64
104803	"manel s, 2001, j appl ecol, v38, p921, doi 10.1046/j.1365-2664.2001.00647.x"	0.7505	0.4897	2	286	2710	185
105743	"marmion m, 2009, divers distrib, v15, p59, doi 10.1111/j.1472-4642.2008.00491.x"	-0.0002	0.7148	2	297	4124	228
109109	"mcpherson jm, 2004, j appl ecol, v41, p811, doi 10.1111/j.0021-8901.2004.00943.x"	0.561	0.7031	2	262	1498	78
109111	"mcpherson jm, 2007, ecography, v30, p135, doi 10.1111/j.2006.0906-7590.04823.x"	0.7051	0.5918	2	259	1364	68
109905	"melo-merino sm, 2020, ecol model, v415, doi 10.1016/j.ecolmodel.2019.108837"	-0.9143	0.3183	1	251	1315	94
110357	"merow c, 2013, ecography, v36, p1058, doi 10.1111/j.1600-0587.2013.07872.x"	-0.5624	-0.3389	1	299	16811	1103
110359	"merow c, 2014, ecography, v37, p1267, doi 10.1111/ecog.00845"	-0.3828	0.464	1	292	2499	124
110825	"mi cr, 2017, peerj, v5, doi 10.7717/peerj.2849"	-0.472	0.8006	1	248	1279	93
111412	"miller j, 2010, geogr compass, v4, p490, doi 10.1111/j.1749-8198.2010.00351.x"	-0.4451	0.3715	1	255	1252	82
114069	"morales ns, 2017, peerj, v5, doi 10.7717/peerj.3093"	-0.8759	-0.3872	1	297	3068	166
114358	"moreno-amat e, 2015, ecol model, v312, p308, doi 10.1016/j.ecolmodel.2015.05.035"	-0.4214	-0.2274	1	266	1486	75
115032	"moss rh, 2010, nature, v463, p747, doi 10.1038/nature08823"	-0.342	-0.5625	3	257	1499	90
116330	"muscarella r, 2014, methods ecol evol, v5, p1198, doi 10.1111/2041-210x.12261"	-0.7504	-0.4034	1	298	10111	618
116655	"myers n, 2000, nature, v403, p853, doi 10.1038/35002501"	-0.0113	-0.5331	3	289	2928	213
117232	"naimi b, 2014, ecography, v37, p191, doi 10.1111/j.1600-0587.2013.00205.x"	-0.8673	0.3723	1	291	3258	188
117235	"naimi b, 2016, ecography, v39, p368, doi 10.1111/ecog.01881"	-0.7785	0.3539	1	287	3213	205
118646	"nelder ja, 1972, j r stat soc ser a-g, v135, p370, doi 10.2307/2344614"	-0.0966	0.882	2	236	1058	65
119089	"newbold t, 2010, prog phys geog, v34, p3, doi 10.1177/0309133309355630"	0.6123	0.6075	2	255	1353	71
120433	"norberg a, 2019, ecol monogr, v89, doi 10.1002/ecm.1370"	-0.6709	0.6528	1	254	1344	83
121313	"o'donnell m.s., 2012, us geological survey, v691, p1, doi 10.3133/ds691"	-0.7011	-0.2501	1	259	1175	72
122612	"olson dm, 2001, bioscience, v51, p933, doi 10.1641/0006-3568(2001)051[0933:teotwa]2.0.co;2"	-0.0334	-0.5952	1	279	1779	124
123253	"ortega-huerta ma, 2008, rev mex biodivers, v79, p205"	0.7168	-0.5805	3	234	1135	78
123507	"osorio-olvera l, 2020, methods ecol evol, v11, p1199, doi 10.1111/2041-210x.13452"	-0.7087	-0.7368	1	221	1094	74
123932	"owens hl, 2013, ecol model, v263, p10, doi 10.1016/j.ecolmodel.2013.04.011"	-0.3728	-0.5221	1	280	2533	138
124212	"padalia i, 2014, ecol inform, v22, p36, doi 10.1016/j.ecoinf.2014.04.002"	-0.2139	-0.7801	3	227	1052	72
125126	"papes m, 2007, divers distrib, v13, p890, doi 10.1111/j.1472-4642.2007.00392.x"	1.0709	-0.1363	2	254	1942	105
125582	"parmesan c, 2003, nature, v421, p37, doi 10.1038/nature01286"	-0.1675	-0.5963	3	294	3444	210
125584	"parmesan c, 2006, annu rev ecol evol s, v37, p637, doi 10.1146/annurev.ecolsys.37.091305.110100"	-0.1116	-0.6567	3	296	3505	214
126526	"pearce j, 2000, ecol model, v133, p225, doi 10.1016/s0304-3800(00)00322-7"	0.3855	0.7507	2	290	3028	180
126533	"pearce jl, 2006, j appl ecol, v43, p405, doi 10.1111/j.1365-2664.2005.01112.x"	0.4673	0.8195	2	265	1742	107
126556	"pearman pb, 2008, trends ecol evol, v23, p149, doi 10.1016/j.tree.2007.11.005"	0.6611	-0.7835	4	258	1721	90
126613	"pearson rg, 2003, global ecol biogeogr, v12, p361, doi 10.1046/j.1466-822x.2003.00042.x"	0.2669	-0.2943	3	299	6215	369
126614	"pearson rg, 2004, ecography, v27, p285, doi 10.1111/j.0906-7590.2004.03740.x"	0.397	-0.0592	2	279	1637	89
126618	"pearson rg, 2006, j biogeogr, v33, p1704, doi 10.1111/j.1365-2699.2006.01460.x"	0.4565	0.3976	2	285	2651	129
126621	"pearson rg, 2007, j biogeogr, v34, p102, doi 10.1111/j.1365-2699.2006.01594.x"	0.4618	-0.5654	3	299	13515	860
126742	"pecl gt, 2017, science, v355, doi 10.1126/science.aai9214"	-0.9259	-0.2015	1	251	1276	89
128004	"peterson a.t., 2006, biodivers inform, v3, p59, doi [10.1182/blood2009-09-244962.an, doi 10.1182/blood2009-09-244962.an, doi 10.17161/bi.v3i0.29 10.17161/bi.v3i0.29]"	0.5931	-0.2474	2	271	1462	87
128011	"peterson a.t., 2011, ecological niches and geographic distributions (mpb- 49), v56"	0.9018	-0.1602	2	262	2397	143
128033	"peterson at, 1999, science, v285, p1265, doi 10.1126/science.285.5431.1265"	0.8698	-0.7382	4	259	1979	107
128035	"peterson at, 2001, bioscience, v51, p363, doi 10.1641/0006-3568(2001)051[0363:psiuen]2.0.co;2"	1.1217	-0.5449	4	232	1182	65
128036	"peterson at, 2001, condor, v103, p599, doi 10.1650/0010-5422(2001)103[0599:psgdbo]2.0.co;2"	0.6585	-0.5475	4	240	1133	65
128048	"peterson at, 2003, q rev biol, v78, p419, doi 10.1086/378926"	0.9007	-0.552	4	278	2399	145
128066	"peterson at, 2007, ecography, v30, p550, doi 10.1111/j.2007.0906-7590.05102.x"	0.6549	-0.4919	4	295	4282	258
128071	"peterson at, 2008, ecol model, v213, p63, doi 10.1016/j.ecolmodel.2007.11.008"	-0.0331	-0.6763	4	298	6094	368
128074	"peterson at, 2008, global ecol biogeogr, v17, p135, doi 10.1111/j.1466-8238.2007.00347.x"	0.9247	-0.63	4	249	1574	82
128084	"peterson at, 2011, j biogeogr, v38, p817, doi 10.1111/j.1365-2699.2010.02456.x"	0.3439	-0.9196	4	255	1750	97
128087	"peterson at, 2012, nat conservacao, v10, p102, doi 10.4322/natcon.2012.019"	-0.3695	-0.1889	1	283	1987	110
128115	"peterson at., 2011, ecological niches and geographic distributions, doi [10.23943/princeton/9780691136868.001.0001 10.23943/princeton/9780691136868.001.0001]"	-0.4949	-0.2771	1	293	4128	249
128239	"petitpierre b, 2012, science, v335, p1344, doi 10.1126/science.1215933"	0.4022	-0.8281	4	267	1722	94
128241	"petitpierre b, 2017, global ecol biogeogr, v26, p275, doi 10.1111/geb.12530"	-0.4275	0.3065	1	249	1218	52
128751	"phillips s.j., 2004, p 21 int c machine l, doi 10.1145/1015330.1015412"	0.3857	-0.3848	3	299	6567	470
128797	"phillips sj, 2006, ecol model, v190, p231, doi 10.1016/j.ecolmodel.2005.03.026"	0.094	-0.2877	3	299	43931	3441
128804	"phillips sj, 2008, ecography, v31, p161, doi 10.1111/j.0906-7590.2008.5203.x"	0.1413	-0.3711	3	299	25199	1787
128805	"phillips sj, 2008, ecography, v31, p272, doi 10.1111/j.0906-7590.2008.5378.x"	0.8675	-0.2701	4	288	2827	141
128807	"phillips sj, 2009, ecol appl, v19, p181, doi 10.1890/07-2153.1"	0.1221	0.3918	1	299	12494	767
128810	"phillips sj, 2010, ecology, v91, p2476, doi 10.1890/09-0760.1"	-0.2992	0.1966	3	259	1228	69
128817	"phillips sj, 2017, ecography, v40, p887, doi 10.1111/ecog.03049"	-0.8923	-0.3046	1	298	10147	684
128832	"phillips sj., 2017, brief tutorial maxen"	-0.579	-0.5714	3	250	1282	92
130689	"porfirio ll, 2014, plos one, v9, doi 10.1371/journal.pone.0113749"	-0.5513	-0.2736	3	271	1462	89
131373	"prasad am, 2006, ecosystems, v9, p181, doi 10.1007/s10021-005-0054-1"	0.256	0.9579	2	251	1422	100
132293	"pulliam hr, 2000, ecol lett, v3, p349, doi 10.1046/j.1461-0248.2000.00143.x"	1.0117	-0.0259	2	263	1720	95
133004	"qiao hj, 2015, methods ecol evol, v6, p1126, doi 10.1111/2041-210x.12397"	-0.2008	0.0794	1	274	1527	76
133030	"qin al, 2017, glob ecol conserv, v10, p139, doi 10.1016/j.gecco.2017.02.004"	-0.587	-0.7706	3	265	1973	132
