Keyword,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
geographic distribution,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,1,4,4,3,2,24
worldclim,0,0,0,3,1,1,1,0,1,2,2,0,1,0,0,3,1,4,3,0,23
niche model,0,0,0,0,1,0,4,1,1,0,0,1,1,4,1,4,1,2,2,0,23
serial autocorrelation,0,0,0,0,1,3,3,1,1,0,3,0,0,1,1,1,3,1,2,2,23
presence only,0,0,0,0,0,3,2,1,1,2,1,2,1,1,0,1,2,3,0,3,23
refugia,0,0,0,0,0,2,0,2,0,3,0,0,1,1,1,1,4,5,2,1,23
africa,0,0,1,1,1,0,0,1,1,2,3,0,1,4,2,1,3,0,2,0,23
medicinal plant,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,1,4,3,4,22
presence-only data,1,1,0,0,0,1,1,2,2,1,0,3,2,0,0,1,5,0,1,1,22
introduction,0,0,0,0,0,1,0,1,1,1,0,3,1,0,1,2,4,2,2,3,22
habitat fragmentation,0,0,0,0,1,0,1,0,0,0,1,1,0,2,3,2,0,0,4,7,22
predictivemodel,0,0,0,1,0,1,2,1,0,0,2,1,2,1,2,3,2,0,2,2,22
predicting,0,0,0,0,0,0,0,1,3,0,0,2,1,0,3,0,3,1,2,6,22
reforestation,0,0,0,0,1,0,2,0,1,1,0,1,1,0,4,2,2,1,2,4,22
tropical forest,1,1,0,0,1,0,0,1,0,0,1,0,3,2,1,3,0,2,2,4,22
alien species,0,0,0,0,0,0,0,1,1,0,0,3,4,1,1,0,2,5,2,2,22
marineprotectedareas,0,0,0,0,0,0,2,1,1,1,1,0,2,0,2,1,3,1,2,4,21
model transferability,0,0,0,0,0,1,1,0,0,0,4,2,0,0,4,3,2,1,1,2,21
generalized linear model,0,0,0,0,0,2,0,0,1,1,2,2,0,0,2,1,3,5,1,1,21
zonation,0,0,0,1,1,0,0,1,2,2,1,1,2,2,2,0,3,1,1,1,21
dispersal,0,0,1,1,0,0,4,0,1,1,3,0,2,0,1,1,2,0,2,2,21
global change,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,1,1,4,2,7,21
