"Author","Recs","LCS","GCS"
"Phillips SJ",4,6004,22269
"Anderson RP",14,5011,19037
"Schapire RE",2,3480,14361
"Elith J",12,3267,11445
"Peterson AT",38,1969,8715
"Dudík M",3,2559,8058
"Graham CH",8,2241,7247
"Yates CJ",3,1823,5777
"Chee YE",2,1763,5496
"Hastie T",1,1757,5479
"Thuiller W",9,280,4109
"Cutler DR",2,202,3916
"Edwards TC",2,202,3885
"Beard KH",1,202,3883
"Cutler A",1,202,3883
"Hess KT",1,202,3883
"Boria RA",7,1184,3721
"Kass JM",12,998,3336
"Hijmans RJ",5,932,3029
"Guisan A",10,869,3010
"Pearson RG",5,919,2926
"Muscarella R",4,861,2762
"Warren DL",5,929,2757
"Raxworthy CJ",2,860,2681
"Nakamura M",1,859,2673
"Ferrier S",2,790,2570
"Soley-Guardia M",4,805,2512
"Jiguet F",3,0,2478
"Lehmann A",3,767,2476
"Galante PJ",3,806,2472
"Albert CH",1,0,2430
"Barbet-Massin M",1,0,2430
"Leathwick J",1,767,2429
"Kearney M",2,656,2384
"Phillips S",1,646,2346
"Li J",14,699,2280
"Seifert SN",2,822,2211
"Hernandez PA",2,710,2181
"Wisz MS",2,713,2161
"Rödder D",29,228,2150
"Albert DL",1,645,1998
"Master LL",1,645,1998
"Brown JL",4,309,1861
"Uriarte M",1,617,1826
"Papes M",20,513,1701
"Kumar S",26,451,1688
"Luoto M",4,311,1544
"Heikkinen RK",4,310,1527
"Engler JO",10,109,1518
"Fourcade Y",5,117,1478
"Secondi J",4,120,1469
"Marmion M",2,308,1433
"VanDerWal J",11,333,1405
"Schröder B",5,16,1401
"Osorio-Olvera L",8,0,1397
"Goodman SM",5,376,1276
"Wilting A",10,6,1250
"Lahoz-Monfort JJ",6,65,1243
"Parviainen M",3,229,1236
"Olson LE",2,370,1222
"Hearn AJ",11,1,1217
"Macdonald DW",12,3,1195
"Guillera-Arroita G",7,65,1191
"Barve N",4,2,1185
"Ross J",8,1,1185
"Dyderski MK",12,113,1173
"Cheyne SM",7,1,1170
"Belant JL",9,15,1147
"Duckworth JW",2,0,1141
"Hofer H",2,0,1141
"Kramer-Schadt S",10,1,1132
"Jagodzinski AM",7,113,1109
"Cobos ME",6,0,1107
"Mathai J",8,2,1100
"Webber BL",5,152,1088
"Heckmann I",3,0,1073
"Niedballa J",3,0,1073
"Scharf AK",2,5,1072
"Stillfried M",3,0,1071
"Samejima H",6,1,1069
"Augeri DM",5,1,1068
"Bernard H",4,1,1064
"Alfred R",5,1,1063
"Lindenborn J",2,0,1063
"Marshall AJ",5,1,1063
"Reinfelder V",2,0,1063
"Pilgrim JD",2,1,1054
"Semiadi G",5,0,1052
"Eaton J",2,0,1039
"Breitenmoser-Wuersten C",1,0,1035
"Rustam R",1,0,1035
"de Marco P",15,58,1003
"Beaumont LJ",16,160,979
"Kumar L",15,166,958
"Bosso L",13,145,931
"Valavi R",6,71,911
"Baumgartner JB",13,130,807
"Kriticos DJ",2,102,807
"Ota N",2,102,807
"Scott JK",2,102,807
"Wintle BA",5,71,800
"Frelich LE",1,85,792
"Paz S",1,85,792
"Eaton M",1,258,791
"Shabani F",13,123,785
"Gilbert F",11,90,777
"Zhang L",21,45,770
"Shoo LP",2,223,760
"Kearney MR",3,85,747
"Bennett JR",3,0,736
"Graham C",1,220,732
"William SE",1,220,732
"Coomes DA",3,40,719
"Smith MJ",3,40,719
"Syfert MM",3,40,719
"Bohl CL",2,225,716
"French CM",1,0,706
"Liu CR",4,209,697
"Newell G",4,209,697
"White M",4,209,697
"Jarnevich CS",15,137,687
"Stohlgren TJ",11,217,682
"Lira-Noriega A",9,94,666
"Pinilla-Buitrago GE",5,188,649
"Bradley BA",6,88,631
"Leriche A",2,60,625
"Russo D",9,129,618
"Bathols J",1,60,613
"Macadam I",1,60,613
"Ficetola GF",11,110,609
"Di Febbraro M",13,67,603
"Svenning JC",8,36,597
"Olden JD",3,94,589
"Ahmadi M",9,102,569
"Nobis MP",3,116,568
"Beck J",2,80,560
"Feng L",9,0,554
"Böller M",1,80,551
"Erhardt A",1,80,551
"Schwanghart W",1,80,551
"Merow C",5,135,545
"Huettmann F",18,39,542
"Lötters S",12,97,539
"Maiorano L",6,104,538
"Radeloff VC",10,45,538
"Shcheglovitova M",1,226,534
"Breiner FT",3,106,529
"Martínez-Meyer E",13,11,529
"Pincebourde S",1,11,523
"Potter KA",1,11,523
"Wenger SJ",1,94,523
"Woods HA",1,11,523
"Sillero N",23,39,521
"Lobo JM",9,93,519
"Raes N",7,22,519
"Cushman SA",13,70,511
"Escobar LE",11,105,510
"Rissler LJ",4,51,509
"Bergamini A",2,101,504
"Cunze S",11,62,498
"Liu Y",25,7,497
"Kaky E",4,35,492
"Shaffer HB",5,172,469
"Besnard AG",2,115,468
"Apodaca JJ",2,50,464
"Liu B",4,132,464
"Fois M",7,154,459
"Reside AE",10,46,459
"Gardner B",2,73,456
"Ma J",8,77,452
"Bacchetta G",6,154,449
"Soberón J",4,0,445
"West AM",4,146,441
"Mi CR",8,16,438
"Bates AE",2,19,435
"Gallardo B",6,48,433
"Warton DI",2,120,432
"Davies AJ",7,92,430
"Fenu G",5,154,429
"Tingley R",4,54,427
"Aldridge DC",5,48,420
"Falconi M",2,0,420
"Barrett N",1,19,417
"Bird TJ",1,19,417
"Edgar GJ",1,19,417
"Frusher S",1,19,417
"Hill NA",1,19,417
"Krkosek M",1,19,417
"Lefcheck JS",1,19,417
"Pecl GT",1,19,417
"Stuart-Smith JF",1,19,417
"Stuart-Smith RD",1,19,417
"Thomson RJ",1,19,417
"Wang CJ",25,89,417
"Wotherspoon S",1,19,417
"Halvorsen R",7,131,415
"Jorgensen PM",2,53,415
"Wan JZ",24,84,412
"Smith TB",5,63,411
"Diniz JAF",7,50,409
"Chen B",10,0,406
"Hu WJ",10,0,405
"Porter WP",1,58,402
"Bussmann RW",6,132,399
"Schwartz MW",2,150,393
"Renner IW",3,111,389
"Lohmann LG",2,64,387
"Rowden AA",8,63,387
"Simoes M",2,76,385
"Cardillo M",2,77,384
"Qin AL",2,132,383
"Groen TA",5,26,378
"Leung B",2,134,378
"Nolan V",2,1,378
"Buermann W",4,63,375
"De Baets B",7,53,375
"Dunn RR",2,30,374
"Nóbrega CC",1,0,374
"Robertson MP",6,61,374
"Sanders NJ",2,30,374
"Alatawi A",1,0,371
"Fitzpatrick MC",2,30,371
"Padoa-Schioppa E",5,62,371
"Yesson C",7,83,369
"Miller PI",3,75,368
"Chandler RB",1,94,367
"Nichols JD",1,94,367
"Royle JA",1,94,367
"Yackulic C",1,94,367
"Dinnage R",1,76,366
"Glor RE",1,76,366
"Huron NA",1,76,366
"Iglesias TL",1,76,366
"Li Q",13,20,366
"Matzke NJ",1,76,366
"Piquet JC",1,76,366
"Turelli M",1,76,366
"Neven LG",5,68,364
"Anderson OF",6,63,363
"Yi YJ",2,136,361
"Loiselle BA",5,70,358
"Feng X",4,121,357
"Balslev H",4,0,356
"Seo CW",6,139,354
"Braunisch V",4,84,353
"Brummitt NA",3,40,353
"Bean WT",7,96,352
"Brashares JS",3,92,350
"Erwin S",1,139,349
"Nelson JK",1,139,349
"O'Brien JM",1,139,349
"Pandey R",2,121,349
"Reiss H",5,59,349
"Thorne J",1,139,349
"Williams JN",1,139,349
"Yu WW",5,0,349
"Picanço MC",13,26,348
"Zhang CL",10,13,348
"Cheung WWL",2,32,345
"Jones MC",2,32,345
"Ren YP",8,13,344
"Xu BD",8,13,344
"Xue Y",8,13,344
"Hughes L",8,42,342
"Liu ZH",5,3,342
"Wilson PD",6,56,342
"Mateo RG",4,50,341
"Bradie J",1,127,338
"Rebelo H",7,52,337
"Skidmore AK",7,53,337
"Srivastava V",5,98,337
"Wang F",8,61,337
"Liang Y",1,117,335
"Park DS",1,117,335
"Silman MR",2,24,335
"Barve V",2,0,334
"McNeill A",3,74,334
"Costa GC",3,69,333
"Pei SX",2,132,332
"Xiao JH",8,52,330
"Santini L",2,79,329
"Drake JM",4,59,328
"Rahmati O",3,5,328
"Gao X",9,52,326
"Guo QS",2,132,324
"Jian ZJ",1,132,324
"Ma FQ",1,132,324
"Xu GX",1,132,324
"Leishman MR",7,34,323
"Jetz W",6,19,321
"Lee WH",21,25,321
"Wang YY",7,7,320
"Kröncke I",4,59,319
"Mouton AM",4,35,319
"Wang HB",7,52,318
"Wang RL",10,31,317
"Polce C",4,10,316
"Contreras-Díaz RG",1,0,315
"Zhang SH",3,120,315
"Cao Y",8,58,312
"Brotons L",5,12,311
"Klimpel S",10,11,311
"Stafford R",2,92,308
"De Siqueira MF",7,92,307
"El-Gabbas A",9,26,307
"Evangelista PH",10,53,307
"Wright AN",2,115,307
"Benito BM",5,80,305
"Guo YM",4,0,305
"Aiello-Lammens ME",2,56,304
"Cheng X",1,120,304
"Yang ZF",1,120,304
"Zhu GP",7,10,304
"Kochmann J",9,11,303
"Vilela B",5,64,303
"Cengic M",2,61,301
"Huijbregts MAJ",2,61,301
"Zhu AX",4,13,301
"Midgley GF",2,66,298
"Muñoz J",8,54,298
"Zeng YW",3,119,296
"Li C",5,5,295
"Li M",12,33,295
"He Y",3,0,293
"Park YS",10,6,293
"Giovanelli JGR",3,92,292
"Haddad CFB",3,92,292
"Brown CS",2,107,290
"Du JG",6,0,289
"Esperón-Rodríguez M",5,49,289
"Alexandrino J",2,92,286
"Convertino M",5,29,285
"Yeo DCJ",2,119,285
"Brown KA",3,4,284
"Khanum R",2,103,284
"Mumtaz AS",2,103,284
"da Silva RS",19,13,283
"Georgian SE",5,44,283
"Randin C",1,56,283
"Reineking B",5,30,283
"Chen GC",4,0,282
"Oppel S",2,60,280
"Neumann H",3,59,279
"Chu-Agor ML",4,29,277
"Linkov I",4,29,277
"Pittman SJ",3,1,277
"Arslan ES",8,10,276
"Elsenbeer H",1,8,276
"Märker M",1,8,276
"Vorpahl P",1,8,276
"Ali H",5,0,275
"Saatchi S",2,52,275
"Herzog SK",2,65,274
"Tang XG",6,6,274
"Yuan YD",6,6,274
"De Marco P Jr",4,29,273
"Arlettaz R",3,67,272
"Biesmeijer JC",4,7,272
"Sequeira F",1,24,271
"Vallinoto M",1,24,271
"Lei GC",8,0,270
"Thomas SM",7,21,269
"Behera MD",12,48,268
"Medina-Vogel G",2,88,268
"Cristinzio G",3,76,266
"Ekesi S",8,16,266
"Hazen EL",4,24,264
"Hemami MR",7,27,264
"Blach-Overgaard A",2,18,263
"Carroll C",3,37,263
"Puchalka R",7,28,263
"Abdelaal M",2,90,262
"Franklin J",2,0,262
"Gaubert P",2,106,262
"Machado RB",5,70,262
"Beierkuhnlein C",6,17,261
"Dong P",6,0,261
"Gallagher RV",6,30,261
"Gurgel CFD",2,11,259
"Pourghasemi HR",9,18,259
"Louzao M",1,59,258
"Meirinho A",1,59,258
"O'Connell AF",1,59,258
"Ramírez I",1,59,258
"Blake JG",2,53,256
"Le Roux JJ",2,55,256
"Ma ZY",3,0,256
"Oppenheimer M",1,37,256
"Wilcove DS",1,37,256
"Zhang Y",12,0,256
"Benn DI",1,0,255
"Sevestre H",1,0,255
"Vignali S",2,67,255
"Ortega-Huerta MA",3,4,254
"Gotelli NJ",2,5,252
"Han XS",2,0,252
"Wen LJ",2,0,252
"Yee WL",3,28,251
"Benítez-López A",1,50,250
"Chen H",11,21,250
"Li MY",4,0,250
"Puschendorf R",8,30,249
"Bromberg J",1,95,247
"Fan G",1,0,247
"Li JJ",1,0,247
"Morisette JT",3,87,247
"Consiglio T",1,53,246
"Guinotte JM",3,66,246
"Jiménez I",1,53,246
"Montiel OM",1,53,246
"Hanafi-Bojd AA",17,16,245
"Clark MR",3,44,244
"Jones G",5,41,244
"Swenson JJ",2,67,244
"Calcaterra D",2,0,243
"Carotenuto F",2,0,243
"Di Martire D",2,0,243
"Di Napoli M",2,0,243
"Guo YL",3,34,243
"Akçakaya HR",2,51,242
"Dendoncker N",4,30,242
"Fuller RA",3,6,242
"Silva DP",11,37,242
"Selden RL",3,14,240
"Kuemmerle T",5,31,239
"Wan HY",7,11,239
"Zhao GH",5,0,239
"Kumar A",14,19,238
"Liu BY",8,52,238
"Wei JF",10,34,238
"Rojas-Soto OR",4,0,237
"Zhang JC",5,6,237
"Barras AG",1,67,236
"Bateman BL",5,36,236
"Brambilla M",9,28,236
"Ma KP",6,23,235
"Bradter U",4,48,234
"Saqib Z",4,4,234
"Griffioen P",2,50,233
"Araújo MB",6,28,232
"Bowden DA",4,27,232
"Downey PO",5,23,232
"Li YC",4,2,232
"Shrestha UB",2,23,232
"Wang JN",4,0,231
"Goethals PLM",5,18,230
"Jiang ZG",4,28,230
"Silva N",2,7,225
"Betts MG",2,0,224
"Pineda E",2,48,224
"Raghavan RK",4,20,224
"Romero-Alvarez D",6,0,224
"Wei YQ",3,0,224
"Jueterbock A",4,39,223
"Kabir M",5,2,223
"Narouei-Khandan HA",4,6,223
"van Bruggen AHC",4,6,223
"Mammola S",5,22,222
"Mazzoni S",4,74,221
"Shi XD",3,0,221
"Griffiths G",4,6,220
"Kushwaha SPS",2,75,220
"Lukac M",4,6,220
"Manzoor SA",4,6,220
"Liu JZ",4,6,219
"Ramachandran A",2,79,219
"Jayakumar S",1,79,217
"Reid N",5,51,217
"Remya K",1,79,217
"Luan J",3,0,216
"Rogers AD",2,52,216
"Taylor ML",2,52,216
"Kiker GA",3,29,215
"Muñoz-Carpena R",3,29,215
"Rangel TF",2,34,215
"De Leo GA",2,14,214
"Hoarau G",2,39,214
"Khosravi R",6,26,214
"Tao J",5,42,214
"Wang TJ",7,32,214
"Gove AD",1,30,213
"Harrigan RJ",3,12,213
"König K",2,54,213
"Dunk JR",2,20,212
"Duursma DE",4,46,212
"Fukuda S",6,36,211
"Cevasco A",1,0,210
"Confuorto P",1,0,210
"Firpo M",1,0,210
"Nogués-Bravo D",2,0,210
"Pepe G",1,0,210
"Raso E",1,0,210
"Tarkesh M",7,47,210
"Cousens RD",1,37,209
"Mesgaran MB",1,37,209
"Boitani L",3,50,208
"Khan AM",4,4,208
"Zhang D",4,0,208
"Singh S",3,14,207
"van Loon EE",2,5,207
"Briggs F",1,0,206
"Carvalheiro LG",3,2,206
"Fern XZ",1,0,206
"Franzoi P",1,14,206
"Hadley AS",1,0,206
"Hadley SJK",1,0,206
"Lakshminarayanan B",1,0,206
"Neal L",1,0,206
"Pellizzato M",1,14,206
"Pranovi F",1,14,206
"Raich R",1,0,206
"Torricelli P",1,14,206
"van Gils H",2,0,206
"Vincenzi S",1,14,206
"Zucchetta M",1,14,206
"Bachman S",2,0,205
"Kutt AS",3,23,205
"McAlpine CA",4,62,205
"Moat J",2,0,205
"Allen JM",4,39,204
"Duan RY",1,0,204
"Fan WY",1,0,204
"Huang MY",1,0,204
"Kong XQ",1,0,204
"Searcy CA",4,66,204
"Wang ZG",1,0,204
"Bu WJ",3,2,203
"Frey JK",5,42,203
"Hallgren W",3,31,202
"Wang R",6,16,202
"Zhao Y",6,15,202
"Bakkestuen V",4,67,201
"Bradshaw CJA",3,12,201
"Duivenvoorden JF",2,5,201
"Liu ZZ",1,0,201
"Nekaris KAI",4,72,201
"Dorazio RM",1,9,200
"Kunin WE",5,45,200
"Koch LK",5,8,199
"Bui DT",2,3,198
"Collazo JA",1,14,198
"Lucas EJ",1,0,198
"Lughadha EMN",1,0,198
"McKerrow A",1,14,198
"Miller DAW",1,14,198
"Murray-Smith C",1,0,198
"Oliveira-Filho AT",1,0,198
"Pacifici K",1,14,198
"Reich BJ",1,14,198
"Stauffer G",1,14,198
"Cord A",4,19,197
"Fischer D",2,12,197
"Jiao ZH",4,46,197
"Ren YL",8,16,197
"Smith D",2,76,197
"Zutta BR",2,47,197
"Aguirre-Gutiérrez J",2,2,196
"Reemer M",2,2,196
"Altringham J",3,28,195
"Bellamy C",3,28,195
"Le Maitre DC",1,42,194
"Roura-Pascual N",2,12,194
"Venticinque EM",3,9,194
"Yan HY",2,0,194
"Lee DS",5,0,193
"Padalia I",1,72,193
"Ramirez-Villegas J",2,5,193
"Villaseñor JL",10,0,193
"Yang W",4,29,193
"Hartig F",3,23,192
"Chao BX",2,0,191
"Colli GR",1,67,191
"Kim HC",5,21,191
"Klein TA",5,21,191
"Nogueira C",1,67,191
"Wang XY",11,21,191
"Zoina A",2,49,191
"Wang MT",3,0,190
"Fahr J",3,30,189
"Adhikari P",11,0,188
"Brun P",3,8,188
"Munoz F",9,2,188
"Cogoni D",4,64,187
"Din JU",2,0,187
"Hameed S",2,0,187
"Nawaz MA",2,0,187
"Bergström U",3,7,186
"Liu QY",6,10,186
"Medeiros MB",2,5,186
"Roy PS",5,9,186
"Sundblad G",3,7,186
"Gao YB",1,0,185
"Liu GQ",1,0,185
"Zhao J",9,3,185
"Khan N",3,1,184
"Nijman V",3,72,184
"Zhang MG",4,19,184
"Deb JC",4,62,183
"Franke I",1,65,183
"Guralnick R",2,6,183
"Hong HY",1,2,183
"Miao YM",1,2,183
"Moilanen A",1,18,183
"Pacheco V",1,65,183
"Paniagua L",1,65,183
"Quintana HL",1,65,183
"Radford B",3,11,183
"Silander JA",2,63,183
"Soto A",1,65,183
"Tovar C",1,65,183
"Valqui TH",1,65,183
"Vargas J",1,65,183
"Václavík T",4,37,183
"Wang XL",6,13,183
"Ward DF",1,62,183
"Xu M",9,3,183
"Young BE",1,65,183
"Alonso A",2,0,182
"Benson N",1,66,182
"Ma P",1,66,182
"Nipperess DA",3,42,182
"Ramos RS",6,24,182
"Rocca M",1,66,182
"VanderWal JJ",3,9,182
"Butt N",3,62,181
"Phinn S",3,62,181
"Wang JW",2,13,181
"Wei HY",6,7,181
"Ersts P",1,51,180
"Horning N",1,51,180
"Stanton JC",1,51,180
"Carroll G",2,14,179
"Haltuch MA",2,14,179
"Lopes A",2,1,179
"Piedade MTF",2,1,179
"Sangermano F",7,39,179
"Wittmann F",2,1,179
"Martínez B",2,11,178
"Sallam MF",6,21,178
"Velásquez-Tibatá J",2,7,178
"Mori E",4,4,177
"Baco A",1,40,176
"Bashta AT",2,23,176
"Beier JC",4,0,176
"Black J",1,40,176
"Chaves JA",1,47,176
"Emilio T",2,0,176
"Fuller DO",4,0,176
"Guinotte J",1,40,176
"Hall-Spencer JM",1,40,176
"Milá B",1,47,176
"Perzanowski K",2,23,176
"Tittensor DP",2,40,176
"Waller DM",2,23,176
"Arampatzis A",2,0,175
"Cano A",2,0,175
"Davis FW",2,0,175
"Effrosynidis D",2,0,175
"Halbert SE",2,6,175
"Roberts D",2,43,175
"Thompson KA",2,34,175
"Wilson CD",2,43,175
"Carretero MA",5,35,174
"Dormann CF",3,0,174
"Fuentes A",2,0,174
"Guevara L",5,48,174
"Wang J",13,23,174
"Worner SP",4,0,174
"Rojas-Soto O",13,10,173
"Zhang RZ",2,40,173
"Zhao Q",11,0,173
"Bertolino S",4,3,172
"García-Amorena I",2,0,172
"Gerstner BE",3,50,172
"Moreno-Amat E",2,0,172
"Zhang PY",4,22,172
"de Carvalho ACPLF",2,11,171
"Gomes VHF",2,0,171
"Guénard B",2,0,171
"Lorena AC",2,11,171
"Silva TSF",2,0,171
"Baider C",2,0,170
"Carranza EJM",1,0,170
"Dallmeier F",2,0,170
"Fricker GA",1,0,170
"Kaboli M",4,3,170
"Laborte AG",1,0,170
"North MP",1,0,170
"Ventura JD",1,0,170
"Wolf JA",1,0,170
"Albuquerque BW",1,0,169
"Alexiades MN",1,0,169
"Amaral IL",1,0,169
"Andrade A",1,0,169
"Araujo-Murakami A",1,0,169
"Arboleda NC",1,0,169
"Arevalo FR",1,0,169
"Arroyo L",1,0,169
"Assis RL",1,0,169
"Baker TR",1,0,169
"Banki OS",1,0,169
"Baraloto C",1,0,169
"Barbosa EM",1,0,169
"Bonates LCDM",1,0,169
"Brienen R",1,0,169
"Camargo JL",1,0,169
"Cardenas S",1,0,169
"Carim MDV",1,0,169
"Carvalho FA",1,0,169
"Casas LF",1,0,169
"Castellanos H",1,0,169
"Castilho CV",1,0,169
"Casula KR",1,0,169
"Ceron C",1,0,169
"Chave J",1,0,169
"Cintra BB",1,0,169
"Coelho LD",1,0,169
"Comiskey JA",1,0,169
"Coronado ENH",1,0,169
"Correa DF",1,0,169
"Costa FRC",1,0,169
"Cuenca WP",1,0,169
"Daly D",1,0,169
"Damasco G",1,0,169
"Davila N",1,0,169
"de Souza FC",1,0,169
"Demarchi LO",1,0,169
"Dexter KG",1,0,169
"Di Fiore A",1,0,169
"Do Amaral DD",1,0,169
"Doza HPD",1,0,169
"Duque A",1,0,169
"Engel J",1,0,169
"Farfan-Rios W",1,0,169
"Farias ED",1,0,169
"Feeley K",1,0,169
"Feitosa Y",1,0,169
"Feldpausch TR",1,0,169
"Ferreira C",1,0,169
"Ferreira LV",1,0,169
"Fine PVA",1,0,169
"Gamarra LV",1,0,169
"Garcia-Cabrera K",1,0,169
"Garcia-Villacorta R",1,0,169
"Gerardo AA",1,0,169
"Giraldo LEU",1,0,169
"Gomez RZ",1,0,169
"Gonzales GPG",1,0,169
"Gonzales T",1,0,169
"Gribel R",1,0,169
"Guevara JE",1,0,169
"Guillaumet JL",1,0,169
"Guimaraes JRDS",1,0,169
"Henkel TW",1,0,169
"Hernandez L",1,0,169
"Hoffman B",1,0,169
"Hu JH",3,15,169
"Huamantupa-Chuquimaco I",1,0,169
"Ijff SD",1,0,169
"Irume MV",1,0,169
"Jimenez EM",1,0,169
"Killeen TJ",1,0,169
"Laurance SGW",1,0,169
"Laurance WF",1,0,169
"Levis C",1,0,169
"Licona JC",1,0,169
"Lima DD",1,0,169
"Linares-Palomino R",1,0,169
"Lopez DC",1,0,169
"Lopez-Gonzalez G",1,0,169
"Luize BG",1,0,169
"Maas P",1,0,169
"Magnusson WE",1,0,169
"Malhi Y",1,0,169
"Manzatto AG",1,0,169
"Marimon BH",1,0,169
"Marimon BS",1,0,169
"Martins MP",1,0,169
"Matos FDD",1,0,169
"Medina MNU",1,0,169
"Mendoza AM",1,0,169
"Mendoza C",1,0,169
"Mesones I",1,0,169
"Milliken W",1,0,169
"Miranda IPDA",1,0,169
"Mogollon HF",1,0,169
"Molino JF",1,0,169
"Montero JC",1,0,169
"Mora MCP",1,0,169
"Mostacedo B",1,0,169
"Nascimento HEM",1,0,169
"Nascimento MT",1,0,169
"Neill D",1,0,169
"Novo EMDL",1,0,169
"Oliveira AA",1,0,169
"Pansini S",1,0,169
"Pansonato MP",1,0,169
"Paredes MR",1,0,169
"Pauletto D",1,0,169
"Pena JLM",1,0,169
"Pennington T",1,0,169
"Peres CA",1,0,169
"Petronelli P",1,0,169
"Phillips JF",1,0,169
"Phillips OL",1,0,169
"Pinto LFM",1,0,169
"Pitman NCA",1,0,169
"Pos E",1,0,169
"Praia D",1,0,169
"Prieto A",1,0,169
"Quaresma A",1,0,169
"Ramirez-Angulo H",1,0,169
"Ramos JF",1,0,169
"Reategui MAA",1,0,169
"Reis NFC",1,0,169
"Revilla JDC",1,0,169
"Ricardo J",1,0,169
"Rivas-Torres G",1,0,169
"Rocha M",1,0,169
"Rudas A",1,0,169
"Ruschel AR",1,0,169
"Sabatier D",1,0,169
"Salomao RP",1,0,169
"Sampaio AF",1,0,169
"Sandoval EHV",1,0,169
"Schietti J",1,0,169
"Schongart J",1,0,169
"Sierra R",1,0,169
"Silveira M",1,0,169
"Simon MF",1,0,169
"Souza P",1,0,169
"Stevenson PR",1,0,169
"Stropp J",2,0,169
"Targhetta N",1,0,169
"ter Steege H",1,0,169
"Terborgh J",1,0,169
"Thomas-Caesar R",1,0,169
"Tirado M",1,0,169
"Torre EV",1,0,169
"Torres-Lezama A",1,0,169
"Valverde FC",1,0,169
"Van Andel TR",1,0,169
"Van der Heijden G",1,0,169
"Vargas PN",1,0,169
"Vasquez R",1,0,169
"Vela CIA",1,0,169
"Vicentini A",1,0,169
"Vieira ICG",1,0,169
"Villa B",1,0,169
"Villarroel D",1,0,169
"Von Hildebrand P",1,0,169
"Vos VA",1,0,169
"Vriesendorp C",1,0,169
"Wang O",1,0,169
"Wei LB",1,75,169
"Young KR",1,0,169
"Zagt R",1,0,169
"Zartman CE",1,0,169
"Zent EL",1,0,169
"Zent S",1,0,169
"Navarro-Cerrillo RM",3,0,168
"Wu GC",2,22,168
"Booth TH",3,44,167
"Carreño F",1,11,167
"Connell SD",1,11,167
"Connor T",3,26,167
"Fordham DA",1,11,167
"Hawkins CP",3,0,167
"Morueta-Holme N",1,0,167
"Nieto-Lugilde D",1,0,167
"Russell BD",1,11,167
"Thomsen MS",1,11,167
"Thorn JS",1,68,167
"Wernberg T",1,11,167
"Wu D",2,0,167
"Yoon S",9,0,167
"Yu FH",6,45,167
"Zimmermann NE",5,13,167
"Benton TG",4,38,166
"Bergès L",3,24,166
"Duque-Lazo J",2,0,166
"Feeley KJ",1,24,166
"Li X",5,35,166
"Reed RN",2,0,166
"Biondi M",5,23,165
"Georgiadis C",2,1,165
"Joly A",7,0,165
"Ravikanth G",9,50,165
"Wang TL",9,1,165
"Forsyth DM",1,26,164
"Gormley AM",1,26,164
"Liao J",2,22,164
"Lindeman M",1,26,164
"Moo-Llanes DA",10,0,164
"Ramsey DSL",1,26,164
"Scroggie MP",1,26,164
"Woodford L",1,26,164
"Altringham JD",3,38,163
"Farashi A",8,14,163
"Foley D",1,0,163
"Ganta R",1,0,163
"Nielsen SE",2,43,163
"Thom TJ",3,38,163
"Kielgast J",3,12,162
"Azuma F",1,0,161
"Blatrix R",1,0,161
"Chao AN",1,0,161
"Chen Y",13,1,161
"Des Lauriers J",1,0,161
"Donoso DA",1,0,161
"Dudley KL",1,0,161
"Economo EP",1,0,161
"Fisher BL",2,0,161
"Gibb H",1,0,161
"Gomez K",1,0,161
"Hawkes PG",1,0,161
"Jenkins CN",1,0,161
"Johnson RA",1,0,161
"Lattke JE",1,0,161
"Longino JT",1,0,161
"Lubertazzi D",1,0,161
"MacGown JA",1,0,161
"Mackay W",1,0,161
"Parr CL",1,0,161
"Robson S",1,0,161
"Ward PS",1,0,161
"Weiser M",1,0,161
"Bonnet P",5,0,160
"Dzurisin J",1,22,160
"Grundel R",1,22,160
"Hellmann JJ",1,22,160
"Hyvärinen M",1,22,160
"Hällfors MH",1,22,160
"Lecours V",4,16,160
"Mostafavi H",8,23,160
"Towle K",1,22,160
"Fink D",3,17,159
"Hayes MA",4,1,159
"López-Mata L",5,0,159
"Marcer A",3,52,159
"Mungi NA",4,12,159
"Ortiz E",7,2,159
"Taylor PJ",6,9,159
"Zhao YF",1,0,159
"Zhu CP",1,0,159
"Akpoti K",4,0,158
"Ellison AM",1,0,158
"McCune JL",3,29,158
"Ollero HS",1,0,158
"Paz-Dyderska S",5,0,158
"Pineda FD",1,0,158
"Ruiz-Labourdette D",1,0,158
"Schmitz MF",1,0,158
"Zwart SJ",4,0,158
"Bar Massada A",1,0,157
"Gogol-Prokurat M",1,0,157
"Gu W",5,2,157
"Stewart SI",1,0,157
"Syphard AD",1,0,157
"Sánchez-Cordero V",5,33,157
"Tingley MW",2,22,157
"Bograd SJ",2,16,156
"Greve M",3,2,156
"Purse BV",3,24,155
"Santana PA Jr",2,0,155
"Zhang XH",5,2,155
"Al-Khalaf AA",7,1,154
"Hosni EM",7,2,154
"Klisz M",2,28,154
"Slik JWF",2,15,154
"Sádlo J",2,28,154
"Vítková M",2,28,154
"McGuire JL",3,3,153
"Golding N",3,28,152
"Mudereri BT",7,8,152
"Pino J",2,52,152
"Pons X",2,52,152
"Zhang HF",7,7,152
"Felicísimo AM",3,51,151
"Wang L",12,24,151
"Zhang JD",4,23,151
"Coro G",7,13,150
"de Andrade AFA",3,2,150
"Mckirdy S",2,15,150
"Miller AJ",3,13,150
"Stolar J",1,43,150
"Sun JJ",6,0,150
"Wan J",2,15,150
"Aryal A",2,34,149
